код	цена	количество
40776	49280	2
48960	650	1
27601	800	1
31239	4000	2
31114	4100	1
30977	570	1
71883	133518	1
59448	4620	10
31420	330	1
66907	924000	1
66908	123200	1
32874	65	18
39626	107800	1
64171	110880	2
61506	1450	2
66979	57000	2
66979	57500	1
63864	900	2
46535	600	1
27542	800	1
41973	55	7
51149	90	3
37860	800	1
73193	1900	1
44059	600	2
56404	1100	2
52493	4550	1
58805	1700	1
49080	320	3
49080	320	1
61289	320	1
73210	250	5
43300	250	5
30566	70	1
61864	160	1
66708	65	16
36092	80	1
36092	85	21
36092	85	4
71269	550	1
70850	450	1
70850	470	1
72842	840	1
72840	470	2
71541	700	2
72438	650	2
50775	40	5
52392	80	1
52392	90	9
43319	380	1
63264	160	1
72450	260	2
72450	260	1
71856	2116	1
72341	320	2
63290	300	4
65744	350	3
62633	7600	1
27569	1762	2
65013	1100	1
67835	510	2
69326	1450	1
51725	590	1
68574	960	1
67883	730	1
67638	600	1
70619	600	2
72511	740	1
70925	266	4
71938	2700	2
64751	221	3
72907	90	5
71456	50	6
69305	230	3
69737	80	1
69293	95	3
72933	100	3
64400	110	9
69790	90	4
27578	80	1
70000	1170	1
27579	912	1
55092	1900	3
43708	2200	2
55842	1750	1
51848	1150	1
66437	2100	1
66210	200	2
66210	200	1
51468	1650	1
72090	480	2
72090	480	1
59893	870	1
40551	1350	1
48530	2150	1
66503	900	1
72346	620	2
67499	700	1
69578	1330	1
67109	205	1
30481	54	1
27593	135	2
70192	234	3
70192	235	1
51956	388	3
70985	139	10
70985	140	2
56919	4100	1
50941	770	1
59474	430	1
50069	700	1
40006	90	1
65792	150	3
27610	600	2
70127	9130	5
56852	580	3
27613	670	4
27613	670	1
27614	800	1
54108	5500	2
66368	470	1
50586	255	2
57723	131	1
27615	650	1
54825	850	1
68884	5200	1
72355	12700	1
72355	12700	1
69427	1100	1
54731	1200	4
71516	770	2
61656	1550	1
71037	90	2
55270	124	1
73222	647	1
73222	655	3
62423	100	3
45361	250	1
71129	189	2
71129	189	1
64019	127	1
64019	128	1
73097	1226	1
68470	1518	1
60318	990	1
67975	1100	1
47509	390	1
69583	700	3
73112	250	2
73112	250	1
71613	2700	2
46049	60	9
46049	70	5
71030	520	2
73076	300	5
65429	250	1
27637	250	2
32929	250	1
70214	270	1
73044	800	1
73225	970	1
73226	1250	1
63163	820	1
27642	490	2
27643	400	1
41119	3050	1
43494	2800	2
27646	1600	2
56410	2600	2
72603	1250	1
65997	1500	1
73100	1300	1
71350	800	1
58603	2800	2
27660	716	2
27660	717	5
62776	392	1
59189	1262	4
61481	264	3
62782	244	1
62644	563	3
62644	576	1
70777	800	1
70777	1000	11
73154	340	2
73155	530	1
70778	950	1
73159	550	1
27672	6900	1
33931	126	1
33931	126	1
69298	129	3
69298	129	3
72615	190	1
64179	120	15
64179	120	5
33074	100	5
33074	100	2
30399	450	1
54272	380	3
61706	1400	1
39890	750	3
27681	158	3
35849	50	1
35849	51	4
27684	420	1
27684	430	2
42739	990	2
67037	5816	2
66180	4555	3
43618	1759	1
58373	65	6
71886	1940	1
46562	800	2
46562	800	1
31961	640	1
31961	640	1
63254	2464	1
71887	72380	1
63255	4620	2
52244	30	10
52244	30	2
39160	500	1
69680	600	1
27815	850	10
27815	850	3
73327	150	3
64256	450	1
73212	1550	50
73212	2000	1
53431	730	2
53431	750	1
70931	66	20
56161	2100	1
27695	970	1
27697	1300	2
72725	1500	1
71696	120	1
54533	390	1
54533	410	1
27703	980	1
63889	650	1
61004	260	2
30498	200	5
30498	200	1
48476	500	3
49238	895	2
43158	890	3
43158	890	1
27708	620	1
27708	720	2
59993	630	1
56120	393	2
56681	361	1
27711	730	2
71114	410	2
71819	420	3
64565	550	4
64565	550	1
41329	547	1
71669	280	1
72050	180	1
62131	270	1
32729	400	1
32626	220	1
32626	250	1
69725	170	1
34556	40	2
63410	50	3
70144	45	5
43795	50	18
60672	50	10
54150	40	23
43613	55	106
44876	50	4
44876	50	2
52313	40	1
69317	150	1
65209	1300	1
72863	360	3
44607	88	2
71542	1100	1
61218	1290	1
66511	3650	1
27733	3500	1
27733	3500	1
70533	1670	1
67736	2200	1
70047	500	1
70047	550	1
42992	1105	2
72857	650	2
35721	110	6
35721	110	1
56052	200	5
72667	700	1
27736	580	1
38662	1300	1
72613	700	2
73175	700	1
73326	1438	1
71050	1998	3
72006	2630	3
72006	2632	1
73082	1305	2
73082	1444	1
65253	370	1
65253	370	1
65235	620	2
68527	650	2
71276	173	10
27750	320	1
64991	13911	3
72843	50	4
41667	67	8
63162	317	4
63162	317	2
72858	500	1
56767	830	1
71814	1190	1
71399	770	1
71399	830	1
71427	1700	1
70806	1700	1
71460	120	4
58810	370	2
71384	890	1
70606	530	1
72368	580	1
70824	640	2
70824	640	1
27765	104	3
65902	126	1
65902	127	2
27767	680	1
27772	350	1
73095	801	2
72370	2757	1
60204	751	1
62335	669	3
70195	165	1
72608	980	2
72968	217	2
72968	217	1
65509	118	1
72895	220	2
72895	220	1
67052	240	2
66234	60	1
71826	270	2
57249	300	2
72093	45	10
72093	45	1
27792	170	2
71558	97	4
71558	98	38
71558	100	1
67589	490	3
71112	1060	1
67574	5124	4
53450	2101	2
72061	450	1
72062	450	1
72194	135	9
68303	540	0.8
